Group,ID,Name,Alias,Color IDs in color,Characteristic color,Hex,Animal,Vegetable,Mineral,Description,Werner original description,Image IDs,Color file
Whites,1,Snow White,white,,1,#f1e9cd,Breast of the black-headed Gull.,Snow-Drop.,Carara Marble and Calc Sinter.,"Snow White, is the characteristic colour of the whites; it is the purest white colour; being free of all intermixture, it resembles new-fallen snow.",1,"1,2,3,24",1-snow-white.jpg
Whites,2,Reddish White,,"1,93,9",0,#f2e7cf,Egg of Grey Linnet,Back of the Christmas Rose.,Porcelain Earth.,"Reddish White, is composed of [snow white], with a very minute portion of [crimson red] and [ash grey].",1,"4,5,6",2-reddish-white.jpg
Whites,3,Purplish White,,"1,93,31,9",0,#ece6d0,Junction of the Neck and Back of the Kittiwake Gull.,White Geranium or Storks Bill.,Arragonite.,"Purplish White, is [snow white], with the slightest tinge of [crimson red] and [Berlin blue], and a very minute portion of [ash grey].",0,"7,8,9,10",3-purplish-white.jpg
Whites,4,Yellowish White,,"1,65,9",0,#f2eacc,Egret.,Hawthorn Blossom.,Chalk and Tripoli.,"Yellowish White, is composed of [snow white], with a very little [lemon yellow] and [ash grey].",1,"11,12,13,25",4-yellowish-white.jpg
Whites,5,Orange coloured White,,"1,82,67,9",0,#f3e9ca,Breast of White or Screech Owl.,Large Wild Convolvulus.,French Porcelain Clay.,"Orange-coloured White, is [snow white], with a very small portion of [tile red] and [king's yellow], and a minute portion of [ash grey].",0,"14,15,16",5-orange-coloured-white.jpg
Whites,6,Greenish White,,"1,53,9",0,#f2ebcd,Vent Coverts of Golden crested Wren.,Polyanthus Narcissus.,Calc sinter.,"Greenish White, is [snow white], mixed with a very little [emerald green] and [ash grey].",1,"17,18,24",6-greenish-white.jpg
Whites,7,Skimmed milk White,,"1,31,9",0,#e6e1c9,White of the Human Eyeballs.,Back of the Petals of Blue Hepatica.,Common Opal.,"Skimmed-milk White, is [snow white], mixed with a little [Berlin blue] and [ash grey].",1,"19,20,21",7-skimmed-milk-white.jpg
Whites,8,Greyish White,,"1,9",0,#e2ddc6,Inside Quill-feathers of the Kittiwake.,White Hamburgh Grapes.,Granular Limestone.,"Greyish White, is [snow white], mixed with a little [ash grey].",1,"7,22,26",8-greyish-white.jpg
Greys,9,Ash Grey,grey,"1,10,11,13,91",1,#cbc8b7,Breast of long tailed Hen Titmouse.,Fresh Wood ashes.,Flint.,"Ash Grey, is the characteristic colour of Werner's Greys; he gives no description of its component parts; it is composed of [snow white], with portions of [smoke] and [French grey], and a very little [yellowish grey] and [carmine red].",1,"23,27,28",9-ash-grey.jpg
Greys,10,Smoke Grey,smoke,"9,103",0,#bfbbb0,Breast of the Robin round the Red.,,Flint.,"Smoke Grey, is [ash grey] mixed with a little [brown].",1,"29,28",10-smoke-grey.jpg
Greys,11,French Grey,,"8,23,91",0,#bebeb3,Breast of Pied Wag tail.,,,"French Grey, nearly the steel grey of Werner, without the lustre, is [greyish white], with a slight tinge of [black] and [carmine red].",0,30,11-french-grey.jpg
Greys,12,Pearl Grey,,"9,93,31 or 14,87",0,#b7b5ac,Backs of black headed and Kittiwake Gulls.,Back of Petals of Purple Hepatica.,Porcelain Jasper.,"Pearl Grey, is [ash grey] mixed with a little [crimson red] and [blue], or [bluish grey] with a little [red].",1,"7,31,32",12-pearl-grey.jpg
Greys,13,Yellowish Grey,,"9,65,103",0,#bab191,Vent coverts of White Rump.,Stems of the Barberry.,Common Calcedony.,"Yellowish Grey, is [ash grey] mixed with [lemon yellow] and a minute portion of [brown].",1,"35,33,34",13-yellowish-grey.jpg
Greys,14,Bluish Grey,,"9,31",0,#9c9d9a,Back and tail Coverts Wood Pigeon.,,Limestone,"Bluish Grey, is [ash grey] mixed with a little [blue].",1,"36,26",14-bluish-grey.jpg
Greys,15,Greenish Grey,,"9,53,23,65",0,#8a8d84,Quill feathers of the Robin.,Bark of Ash Tree.,Clay Slate Wacke.,"Greenish Grey, is [ash grey] mixed with a little [emerald green], a small portion of [black], and a little [lemon yellow].",1,"29,37,38",15-greenish-grey.jpg
Greys,16,Blackish Grey,,"9,31,23",0,#5b5c61,Back of Nut-hatch.,Old Stems of Hawthorn.,Flint.,"Blackish Grey, a blackish lead grey of Werner without the lustre is [ash grey], with a little [blue] and a portion of [black].",0,"39,40,28",16-blackish-grey.jpg
Blacks,17,Greyish Black,,"23,9",0,#555152,Water Ousel. Breast and upper Part of Back of Water Hen.,,Basalt.,"Greyish Black, is composed of [velvet black], with a portion of [ash grey].",1,"42,43,41",17-greyish-black.jpg
Blacks,18,Bluish Black,,"23,31,16",0,#413f44,Largest Black Slug,Crowberry.,Black Cobalt Ochre.,"Bluish Black, is [velvet black], mixed with a little [blue] and [blackish grey].",1,"44,45,46",18-bluish-black.jpg
Blacks,19,Greenish Black,,"23,103,66,53",0,#454445,Breast of Lapwing,,Hornblende,"Greenish Black, is [velvet black], mixed with a little [brown], [yellow], and [green].",1,"47,48",19-greenish-black.jpg
Blacks,20,Pitch or Brownish Black,brownish black,"23,103,66",0,#423937,Guillemot Wing Coverts of Black Cock.,,Yenite mica,"Pitch, or Brownish Black, is [velvet black], mixed with a little [brown] and [yellow].",1,"49,50",20-pitch-or-brownish-black.jpg
Blacks,21,Reddish Black,,"23,91,103",0,#433635,Spots on Large Wings of Tyger Moth. Breast of Pochard Duck.,Berry of Fuchsia Coccinea.,Oliven ore,"Reddish Black, is [velvet black], mixed with a very little [carmine red], and a small portion of [chestnut brown].",0,"51,52,53,54",21-reddish-black.jpg
Blacks,22,Ink Black,,"23,31",0,#252024,,Berry of Deadly Night Shade,Oliven ore,"Ink Black, is [velvet black], with a little [indigo blue] in it.",0,"55,54",22-ink-black.jpg
Blacks,23,Velvet Black,black,,1,#241f20,Mole. Tail Feathers of Black Cock.,Black of Red and Black West-Indian peas.,Obsidian,"Velvet Black, is the characteristic colour of the blacks; it is the colour of black velvet.",1,"56,49,57,58,59",23-velvet-black.jpg
Blues,24,Scotch Blue,,"31,23,9,91",0,#281f3f,Throat of Blue Titmouse.,Stamina of Single Purple Anemone.,Blue Copper Ore.,"Scotch Blue, is [Berlin blue], mixed with a considerable portion of [velvet black], a very little [grey], and a slight tinge of [carmine red].",1,"60,63,62",24-scotch-blue.jpg
Blues,25,Prussian Blue,,"31,23,26",0,#1c1949,Beauty Spot on Wing of Mallard Drake.,Stamina of Bluish Purple Anemone.,Blue Copper Ore,"Prussian Blue, is [Berlin blue], with a considerable portion of [velvet black], and a small quantity of [indigo blue].",0,"64,61,62",25-prussian-blue.jpg
Blues,26,Indigo Blue,,"31,23,52",0,#4f638d,,,Blue Copper Ore.,"Indigo Blue, is composed of [berlin blue], a little [black], and a small portion of [apple green].",0,62,26-indigo-blue.jpg
Blues,27,China Blue,,"28,25",0,#383867,Rhynchites Nitens,Back Parts of Gentian Flower.,Blue Copper Ore from Chessy.,"China Blue, is [azure blue], with a little [prussian blue] in it.",0,"65,66,62",27-china-blue.jpg
Blues,28,Azure Blue,azure,"31,91",0,#5c6b8f,Breast of Emerald-crested Manakin,Grape Hyacinth. Gentian.,Blue Copper Ore.,"Azure Blue, is [Berlin blue], mixed with a little [carmine red]: it is a burning colour.",1,"67,68,66,62",28-azure-blue.jpg
Blues,29,Ultramarine Blue,,"31,28",0,#657abb,Upper Side of the Wings of small blue Heath Butterfly.,Borrage.,Azure Stone or Lapis Lazuli.,"Ultramarine Blue, is a mixture of equal parts of [Berlin] and [azure blue].",0,"69,70,71",29-ultramarine-blue.jpg
Blues,30,Flax-Flower Blue,,"31,29",0,#6f88af,Light Parts of the Margin of the Wings of Devil's Butterfly.,Flax flower.,Blue Copper Ore,"Flax-Flower Blue, is [Berlin blue], with a slight tinge of [ultramarine blue].",0,"72,73,62",30-flax-flower-blue.jpg
Blues,31,Berlin Blue,"berlin,blue",,1,#7994b5,Wing Feathers of Jay.,Hepatica.,Blue Sapphire.,"Berlin Blue, is the pure, or characteristic colour of Werner.",1,"74,20,75",31-berlin-blue.jpg
Blues,32,Verditter Blue,,"31,50",0,#6fb5a8,,,Lenticular Ore.,"Verditter Blue, is [Berlin blue], with a small portion of [verdigris green].",0,76,32-verditter-blue.jpg
